"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"방천시장","공연장 앞 펜스위, 김광석 거리 입구",대구광역시,중구,기타,LG U+,Public WiFi Free,2020-12,대구광역시 중구 달구벌대로446길 11,대구광역시 중구 대봉동 11-49,대구광역시 중구청,053-661-2474,35.8618339,128.6060079,2020-06-30
3.1운동길,관광해설사의 집 지붕,대구광역시,중구,관광,LG U+,Public WiFi Free,2020-12,대구광역시 중구 달성로 56,대구광역시 중구 동산동 194,대구광역시 중구청,053-661-2474,35.86895629,128.5831757,2020-06-30
"대구광역시 중구청","민원실, 로비",대구광역시,중구,관공서,KT,Public WiFi Free,2020-12,대구광역시 중구 국채보상로139길1,대구광역시 중구 동인동2가 177-4,대구광역시 중구청,053-661-2474,35.8692838,128.6060779,2020-06-30
"삼덕동주민센터",민원실,대구광역시,중구,관공서,KT,Public WiFi Free,2020-12,대구광역시 중구 달구벌대로447길 72-11,대구광역시 중구 삼덕동3가 174-2,대구광역시 중구청,053-661-2474,35.8655468,128.6089583,2020-06-30
"남산2동주민센터",민원실,대구광역시,중구,관공서,KT,Public WiFi Free,2020-12,대구광역시 중구 명륜로 27-1,대구광역시 중구 남산2동 573-1,대구광역시 중구청,053-661-2474,35.864077,128.5895742,2020-06-30
"서문시장","야시장, 2지구, 만남의 장소 등",대구광역시,중구,기타,KT,Public WiFi Free,2020-12,대구광역시 중구 큰장로28길 10,대구광역시 중구 대신동 2105,대구광역시 중구청,053-661-2474,35.8694078,128.5798557,2020-06-30
"염매시장",상가통로,대구광역시,중구,기타,KT,Public WiFi Free,2020-12,대구광역시 중구 종로 8,대구광역시 중구 계산동2가 255-1,대구광역시 중구청,053-661-2474,35.866636,128.5924688,2020-06-30
"중부노인복지센터",복지센터 내,대구광역시,중구,서민·복지시설,KT,Public WiFi Free,2020-12,대구광역시 중구 명륜로 43-10,대구광역시 중구 남산2동 618-24,대구광역시 중구청,053-661-2474,35.8629957,128.5904221,2020-06-30
"봉산문화회관","1층 로비, 2층 통로",대구광역시,중구,관공서,KT,Public WiFi Free,2020-12,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,대구광역시 중구청,053-661-2474,35.8631367,128.5965618,2020-06-30
"대구청소년지원재단",재단내,대구광역시,중구,서민·복지시설,KT,Public WiFi Free,2020-12,대구광역시 중구 중앙대로81길 66-5,대구광역시 중구 종로1가 83-1,대구광역시 중구청,053-661-2474,35.869932,128.5901125,2020-06-30
"경상감영공원",공원 주차장 출입계단,대구광역시,중구,기타,LG U+,Public WiFi Free,2020-12,대구광역시 중구 경상감영길 99,대구광역시 중구 포정동 21,대구광역시 중구청,053-661-2474,35.8722155,128.5922224,2020-06-30
"대구중구노인상담소",상담소 내,대구광역시,중구,서민·복지시설,LG U+,Public WiFi Free,2020-12,대구광역시 중구 경상감영1길 43,대구광역시 중구 대안동 10-4,대구광역시 중구청,053-661-2474,35.8729421,128.5927427,2020-06-30
"대봉1동주민센터",주민센터 내 민원실,대구광역시,중구,관공서,LG U+,Public WiFi Free,2020-12,대구광역시 중구 달구벌대로440길 27,대구광역시 중구 대봉1동 19-17,대구광역시 중구청,053-661-2474,35.8616393,128.6043643,2020-06-30
"대봉2동주민센터",주민센터 내 민원실,대구광역시,중구,관공서,LG U+,Public WiFi Free,2020-12,대구광역시 중구 대봉로45길 29,대구광역시 중구 대봉2동 152-7,대구광역시 중구청,053-661-2474,35.8581536,128.5997619,2020-06-30
"대신동주민센터",주민센터 내 민원실,대구광역시,중구,관공서,LG U+,Public WiFi Free,2020-12,대구광역시 중구 달구벌대로389길 50,대구광역시 중구 대신동 1083,대구광역시 중구청,053-661-2474,35.86558207,128.5763499,2020-06-30
"동부시장",시장통로,대구광역시,중구,기타,LG U+,Public WiFi Free,2020-12,대구광역시 중구 동성로3길 87,대구광역시 중구 동인동1가 470-2,대구광역시 중구청,053-661-2474,35.8692709,128.5980362,2020-06-30
"성내1동주민센터",주민센터 내 민원실,대구광역시,중구,관공서,LG U+,Public WiFi Free,2020-12,대구광역시 중구 명륜로26길 77-2,대구광역시 중구 공평동 16-31,대구광역시 중구청,053-661-2474,35.8567598,128.5978315,2020-06-30
"어르신마을노인복지센터",복지센터 내,대구광역시,중구,서민·복지시설,LG U+,Public WiFi Free,2020-12,대구광역시 동구 효동로2길 24,대구광역시 중구 대봉2동 733-4,대구광역시 중구청,053-661-2474,35.8797836,128.6519603,2020-06-30
"중구시니어클럽",사무실 내,대구광역시,중구,서민·복지시설,LG U+,Public WiFi Free,2020-12,대구광역시 동구 효동로2길 24 (효목동),대구광역시 중구 삼덕동2가 149-63,대구광역시 중구청,053-661-2474,35.8797836,128.6519603,2020-06-30
"아양아트센터",전체,대구광역시,동구,지역문화시설,"KT, LGU+",Public WiFi Free,2020-03,대구광역시 동구 동북로 71길 33,대구광역시 동구 효목1동 1084,대구광역시 동구청,053-662-2472,35.8906223,128.6311303,2020-06-30
"신암공원관리사무소",전체,대구광역시,동구,기타,KT,Public WiFi Free,2020-03,대구광역시 동구 금호강변로 278 (율하동),대구광역시 동구 신암4동 125-3,대구광역시 동구청,053-662-2472,35.859963457,128.692827529,2020-06-30
"율하체육공원",전체,대구광역시,동구,기타,KT,Public WiFi Free,2020-03,대구광역시 동구 큰고개로 23 (신암동),대구광역시 동구 율하동 1626,대구광역시 동구청,053-662-2472,35.8862253,128.6241342,2020-06-30
"봉무공원",전체,대구광역시,동구,기타,KT,Public WiFi Free,2020-03,대구광역시 동구 신암북로11길 54(신암동),대구광역시 동구 봉무동 135-2,대구광역시 동구청,053-662-2472,35.8901537,128.6216009,2020-06-30
"해오름재가노인복지센터",전체,대구광역시,동구,서민·복지시설,KT,Public WiFi Free,2020-06,대구광역시 동구 팔공로25길 16 (불로동),대구광역시 동구 신암4동 662,대구광역시 동구청,053-662-2472,35.9103078,128.6393123,2020-06-30
"동부도서관",전체,대구광역시,동구,관공서,KT,Public WiFi Free,2020-06,대구광역시 동구 해동로3길 20 (지저동),대구광역시 동구 신암4동 664-19,대구광역시 동구청,053-662-2472,35.8963389,128.6387115,2020-06-30
"볼로봉무동 주민센터",민원실,대구광역시,동구,관공서,SKT,Public WiFi Free,2020-06,대구광역시 동구 동촌로 79 (검사동),대구광역시 동구 불로동 434,대구광역시 동구청,053-662-2472,35.8880958,128.6512343,2020-06-30
"지저동 주민센터",민원실,대구광역시,동구,관공서,KT,Public WiFi Free,2020-06,대구광역시 동구 안심로49길 98 (서호동),대구광역시 동구 지저동 779-5,대구광역시 동구청,053-662-2472,35.8705213,128.7108358,2020-06-30
"동구 보건소",전체,대구광역시,동구,관공서,KT,Public WiFi Free,2020-06,대구광역시 동구 화랑로41길 46,대구광역시 동구 검사동 1005-8,대구광역시 동구청,053-662-2472,35.8816142,128.6449448,2020-06-30
"안심3·4동 주민센터",민원실,대구광역시,동구,관공서,KT,Public WiFi Free,2020-06,대구광역시 동구 공항로31길 9-6 (불로동),대구광역시 동구 서호동 14,대구광역시 동구청,053-662-2472,35.9019763,128.6300661,2020-06-30
"효목1동 주민센터",민원실,대구광역시,동구,관공서,SKT,Public WiFi Free,2020-11,대구광역시 동구 아양로 207 (신암동),대구광역시 동구 효목1동 174-9,대구광역시 동구청,053-662-2472,35.8867281,128.6356637,2020-06-30
"동구노인복지회관",전체,대구광역시,동구,서민·복지시설,KT,Public WiFi Free,2020-11,대구광역시 동구 해동로 219 (검사동),대구광역시 동구 불로동 948,대구광역시 동구청,053-662-2472,35.8862005,128.6533675,2020-06-30
"팔공노인복지회관",전체,대구광역시,동구,서민·복지시설,KT,Public WiFi Free,2020-11,대구광역시 동구 효목로 14 (효목동),대구광역시 동구 신암5동 36-1,대구광역시 동구청,053-662-2472,35.8744148,128.6396573,2020-06-30
"대구SOS어린이마을",전체,대구광역시,동구,서민·복지시설,KT,Public WiFi Free,2020-11,대구광역시 동구 아양로37길 14 (신암동),대구광역시 동구 검사동 962,대구광역시 동구청,053-662-2472,35.8866371,128.6339606,2020-06-30
"동구시장",전체,대구광역시,동구,기타,LGU+,Public WiFi Free,2020-11,대구광역시 동구 신암남로 67 (신암동),대구광역시 동구 효목2동 537-1,대구광역시 동구청,053-662-2472,35.8795724,128.6231473,2020-06-30
"동서시장",전체,대구광역시,동구,기타,LGU+,Public WiFi Free,2020-11,대구광역시 동구 팔공로26길 9-1 (불로동),대구광역시 동구 신암5동 105-10,대구광역시 동구청,053-662-2472,35.91040163,128.6419419,2020-06-30
"신암3동 주민센터",민원실,대구광역시,동구,관공서,LGU+,Public WiFi Free,2020-11,대구광역시 동구 효신로 34(효목동),대구광역시 동구 신암3동 233,대구광역시 동구청,053-662-2472,35.8750929,128.634501,2020-06-30
"불로전통시장",민원실,대구광역시,동구,기타,KT,Public WiFi Free,2020-11,대구광역시 동구 신암남로 175-1 (신암동),대구광역시 동구 불로동 450-2,대구광역시 동구청,053-662-2472,35.8848904,128.6320783,2020-06-30
"팔공정보문화센터",전체,대구광역시,동구,서민·복지시설,KT,Public WiFi Free,2020-11,대구광역시 동구 아양로37길 92(신암동),대구광역시 동구 효목동 400-1,대구광역시 동구청,053-662-2472,35.8897559,128.6330629,2020-06-30
"영유아플라자",전체,대구광역시,동구,서민·복지시설,KT,Public WiFi Free,2020-01,대구광역시 동구 국채보상로159길 41(신천동),대구광역시 동구 신암동 342-2,대구광역시 동구청,053-662-2472,35.8704136,128.6150273,2020-06-30
"신암5동 주민센터",민원실,대구광역시,동구,관공서,KT,Public WiFi Free,2020-01,대구광역시 동구 아양로7길 27 (신암동),대구광역시 동구 신암동 72-1,대구광역시 동구청,053-662-2472,35.8842862,128.6163506,2020-06-30
"신천1·2동 주민센터",민원실,대구광역시,동구,관공서,KT,Public WiFi Free,2020-01,대구광역시 동구 신성로 56(신암동),대구광역시 동구 신천동 645-1,대구광역시 동구청,053-662-2472,35.8799695,128.6127068,2020-06-30
"신암1동 주민센터",민원실,대구광역시,동구,관공서,LGU+,Public WiFi Free,2020-01,대구광역시 동구 신암남로23길 53(신암동),대구광역시 동구 신암동 722-293,대구광역시 동구청,053-662-2472,35.8850364,128.6293294,2020-06-30
"신암2동 주민센터",민원실,대구광역시,동구,관공서,LGU+,Public WiFi Free,2020-01,대구광역시 동구 해동로3길 19-5(지저동),대구광역시 동구 신암동 480-13,대구광역시 동구청,053-662-2472,35.8962467,128.6384216,2020-06-30
"신암4동 주민센터",민원실,대구광역시,동구,관공서,LGU+,Public WiFi Free,2020-01,대구광역시 동구 동부로5길 10(신천동),대구광역시 동구 신암동 286-2,대구광역시 동구청,053-662-2472,35.87448676,128.6153095,2020-06-30
"공항시장",전체,대구광역시,동구,기타,KT,Public WiFi Free,2020-11,대구광역시 동구 화랑로25길 45(효목동),대구광역시 동구 지저동 694-47,대구광역시 동구청,053-662-2472,35.8781522,128.6412466,2020-06-30
"송라시장",전체,대구광역시,동구,기타,KT,Public WiFi Free,2020-11,대구광역시 동구 동촌로48길 26(방촌동),대구광역시 동구 신천동 537-13,대구광역시 동구청,053-662-2472,35.880027,128.6652611,2020-06-30
"신천3동주민센터",민원실,대구광역시,동구,관공서,KT,Public WiFi Free,2020-11,대구광역시 동구 율하동로 121(신기동),대구광역시 동구 신천동 80-2,대구광역시 동구청,053-662-2472,35.8703905,128.7021131,2020-06-30
"효목2동행정복지센터",민원실,대구광역시,동구,관공서,KT,Public WiFi Free,2020-11,대구광역시 동구 팔공로91길 9(지묘동),대구광역시 동구 효목동 585-1,대구광역시 동구청,053-662-2472,35.9400873,128.6441372,2020-06-30
"동촌동행정복지센터",민원실,대구광역시,동구,관공서,KT,Public WiFi Free,2020-11,대구광역시 동구 방촌로125(방촌동),대구광역시 동구 입석동 893-12,대구광역시 동구청,053-662-2472,35.882667,128.6657517,2020-06-30
"방촌동주민센터",민원실,대구광역시,동구,관공서,KT,Public WiFi Free,2020-11,대구광역시 동구 율하동로 143(신기동),대구광역시 동구 방촌동 1084-124,대구광역시 동구청,053-662-2472,35.8724248,128.7024201,2020-06-30
"안심1동행정복지센터",민원실,대구광역시,동구,관공서,KT,Public WiFi Free,2020-11,대구광역시 동구 동부로30길 61-7(신천동),대구광역시 동구 신기동 546,대구광역시 동구청,053-662-2472,35.8717286,128.629306,2020-06-30
"도평동주민센터",민원실,대구광역시,동구,관공서,KT,Public WiFi Free,2020-11,대구광역시 동구 아양로 10(신암동),대구광역시 동구 도동 978-385,대구광역시 동구청,053-662-2472,35.8811506,128.6152753,2020-06-30
"공산동주민센터",민원실,대구광역시,동구,관공서,KT,Public WiFi Free,2020-11,대구광역시 동구 동대구로 457,대구광역시 동구 지묘동 269-1,대구광역시 동구청,053-662-2472,35.8710897,128.624959,2020-06-30
"방촌현대시장",전체,대구광역시,동구,기타,LGU+,Public WiFi Free,2020-11,대구광역시 동구 동대구로 475,대구광역시 동구 방촌동 902-7,대구광역시 동구청,053-662-2472,35.872829,128.6248342,2020-06-30
"효목시장",전체,대구광역시,동구,기타,LGU+,Public WiFi Free,2020-11,대구광역시 동구 동대구로 495,대구광역시 동구 효목동 139-5,대구광역시 동구청,053-662-2472,35.8746811,128.6248621,2020-06-30
"반야월종합시장",전체,대구광역시,동구,기타,LGU+,Public WiFi Free,2020-11,대구광역시 동구 효동로2길 27,대구광역시 동구 신기동 174-1,대구광역시 동구청,053-662-2472,35.8810648,128.6513905,2020-06-30
"해안동행정복지센터",민원실,대구광역시,동구,관공서,LGU+,Public WiFi Free,2020-11,대구광역시 동구 효동로2길 39,대구광역시 동구 방촌동 822-5,대구광역시 동구청,053-662-2472,35.8802662,128.6525524,2020-06-30
"신천4동주민센터",민원실,대구광역시,동구,관공서,LGU+,Public WiFi Free,2020-11,대구광역시 동구 효동로6길 58,대구광역시 동구 신천동 368-4,대구광역시 동구청,053-662-2472,35.8829231,128.6492549,2020-06-30
"평화시장",전체,대구광역시,동구,기타,SKT,Public WiFi Free,2020-11,대구광역시 동구 동부로30길 15,대구광역시 동구 신암동 164-19 일대,대구광역시 동구청,053-662-2472,35.8755605,128.6290639,2020-06-30
"동대구로",전체,대구광역시,동구,기타,KT,Public WiFi Free,2020-05,대구광역시 동구 동부로30길 53,대구광역시 동구 신천동 91,대구광역시 동구청,053-662-2472,35.8723103,128.6290703,2020-06-30
"동대구로",전체,대구광역시,동구,기타,KT,Public WiFi Free,2020-05,대구광역시 동구 동내로 117,대구광역시 동구 신천동 107-2,대구광역시 동구청,053-662-2472,35.88095084,128.7341237,2020-06-30
"동대구로",전체,대구광역시,동구,기타,KT,Public WiFi Free,2020-05,대구광역시 서구 국채보상로399,대구광역시 동구 신천동 103,대구광역시 동구청,053-662-2472,35.8722298,128.5747977,2020-06-30
"동대구로",전체,대구광역시,동구,기타,KT,Public WiFi Free,2020-05,대구광역시 서구 당산로403,대구광역시 동구 신천동 95,대구광역시 동구청,053-662-2472,35.8722732,128.5455773,2020-06-30
"동대구로",전체,대구광역시,동구,기타,KT,Public WiFi Free,2020-05,대구광역시 서구 옥산로6길9,대구광역시 동구 신천동 89-6,대구광역시 동구청,053-662-2472,35.885748,128.5788694,2020-06-30
"동대구로",전체,대구광역시,동구,기타,KT,Public WiFi Free,2020-05,대구광역시 서구 문화로49길25,대구광역시 동구 신천동 89-1,대구광역시 동구청,053-662-2472,35.878009,128.5589495,2020-06-30
"동대구로",전체,대구광역시,동구,기타,KT,Public WiFi Free,2020-05,대구광역시 서구 서대구로17길16,대구광역시 동구 신천동 74-1,대구광역시 동구청,053-662-2472,35.8653967,128.5539313,2020-06-30
"동촌유원지",전체,대구광역시,동구,기타,자가망,Public WiFi Free,2020-05,대구광역시 서구 서대구로9,대구광역시 동구 효목동 1060,대구광역시 동구청,053-662-2472,35.858787,128.5567374,2020-06-30
"동촌유원지",전체,대구광역시,동구,기타,자가망,Public WiFi Free,2020-05,대구광역시 서구 당산로403,대구광역시 동구 효목동 1100-3,대구광역시 동구청,053-662-2472,35.8722732,128.5455773,2020-06-30
"동촌유원지",전체,대구광역시,동구,기타,자가망,Public WiFi Free,2020-05,대구광역시 서구 문화로123,대구광역시 동구 효목동 1010,대구광역시 동구청,053-662-2472,35.8743119,128.5463842,2020-06-30
"동촌유원지",전체,대구광역시,동구,기타,자가망,Public WiFi Free,2020-05,대구광역시 서구 국채보상로49길12,대구광역시 동구 효목동 979-2,대구광역시 동구청,053-662-2472,35.8722558,128.5576101,2020-06-30
"동촌유원지",전체,대구광역시,동구,기타,자가망,Public WiFi Free,2020-05,대구광역시 서구 국채보상로257,대구광역시 동구 효목동 1310,대구광역시 동구청,053-662-2472,35.8718022,128.5592204,2020-06-30
"터미널먹거리촌",전체,대구광역시,동구,기타,자가망,Public WiFi Free,2020-05,대구광역시 서구 서대구로97,대구광역시 동구 신천동 379-5,대구광역시 동구청,053-662-2472,35.8668266,128.555208,2020-06-30
"터미널먹거리촌",전체,대구광역시,동구,기타,자가망,Public WiFi Free,2020-05,대구광역시 서구 국채보상로161-1,대구광역시 동구 신천동 337-1,대구광역시 동구청,053-662-2472,35.8696202,128.5488325,2020-06-30
"터미널먹거리촌",전체,대구광역시,동구,기타,자가망,Public WiFi Free,2020-05,대구광역시 서구 달구벌대로1797,대구광역시 동구 신천동 368-7,대구광역시 동구청,053-662-2472,35.8595566,128.561413,2020-06-30
"동대구역 광장",전체,대구광역시,동구,기타,자가망,Public WiFi Free,2020-05,대구광역시 서구 팔달로170,대구광역시 동구 신암동 294,대구광역시 동구청,053-662-2472,35.8885948,128.5683954,2020-06-30
"혁신도시 중앙공원",전체,대구광역시,동구,기타,자가망,Public WiFi Free,2020-05,대구광역시 서구 평리로157,대구광역시 동구 신서동 1185,대구광역시 동구청,053-662-2472,35.8596025,128.5405922,2020-06-30
"원고개시장",대구유통 매장,대구광역시,서구,기타,SKT,Public WiFi Free,2020-12,대구광역시 서구 국채보상로49길12,대구광역시 서구 비산동 569-2,대구광역시 서구청,053-663-2473,35.8722558,128.5576101,2020-06-30
"종합자원봉사센터",사무실,대구광역시,서구,서민·복지시설,KT,Public WiFi Free,2020-12,대구광역시 서구 달서로54길6,대구광역시 서구 비산동 399-34,대구광역시 서구청,053-663-2473,35.8854506,128.5747371,2020-06-30
"서구문화회관",가로등,대구광역시,서구,서민·복지시설,SKT,Public WiFi Free,2020-12,대구광역시 서구 문화로122,대구광역시 서구 이현동 48-144,대구광역시 서구청,053-663-2473,35.873636,128.5457716,2020-06-30
"종합사회복지관",각층 복도천장,대구광역시,서구,서민·복지시설,SKT,Public WiFi Free,2020-12,대구광역시 서구 북비산로33길9-2,대구광역시 서구 내당동 67-9,대구광역시 서구청,053-663-2473,35.8802417,128.5515051,2020-06-30
"제일종합사회복지관",각층 복도천장,대구광역시,서구,서민·복지시설,SKT,Public WiFi Free,2020-12,대구광역시 서구 국채보상로78길29-4,대구광역시 서구 원대동3가 1120-1,대구광역시 서구청,053-663-2473,35.8698013,128.5743007,2020-06-30
"원대시장",시장내,대구광역시,서구,기타,KT,Public WiFi Free,2020-12,대구광역시 서구 국채보상로257,대구광역시 서구 원대동3가 1223-13,대구광역시 서구청,053-663-2473,35.8718022,128.5592204,2020-06-30
"대평리시장",시장내,대구광역시,서구,기타,KT,Public WiFi Free,2020-12,대구광역시 서구 서대구로295,대구광역시 서구 평리동 676-7,대구광역시 서구청,053-663-2473,35.8842282,128.5552275,2020-06-30
"중평시장",시장내,대구광역시,서구,기타,KT,Public WiFi Free,2020-12,대구광역시 서구 서대구로7길46,대구광역시 서구 평리동 1437-5,대구광역시 서구청,053-663-2473,35.8607456,128.5514497,2020-06-30
"소망모자원",사무실,대구광역시,서구,서민·복지시설,SKT,Public WiFi Free,2020-12,대구광역시 서구 국채보상로257,대구광역시 서구 상리동 644,대구광역시 서구청,053-663-2473,35.8718022,128.5592204,2020-06-30
"대구북부고용센터",민원실,대구광역시,서구,서민·복지시설,KT,Public WiFi Free,2020-12,대구광역시 서구 국채보상로31길12,대구광역시 서구 내당동469-3,대구광역시 서구청,053-663-2473,35.8702972,128.5478372,2020-06-30
"북부정류장",쉼터공원,대구광역시,서구,교통시설,LGU+,Public WiFi Free,2020-12,대구광역시 서구 서대구로3길46,대구광역시 서구 비산동 1856-3,대구광역시 서구청,053-663-2473,35.8589532,128.5517595,2020-06-30
"서구문화회관",1층 사무실,대구광역시,서구,서민·복지시설,SKT,Public WiFi Free,2020-12,대구광역시 서구 국채보상로81길43,대구광역시 서구 이현동 48-144,대구광역시 서구청,053-663-2473,35.8758308,128.5747396,2020-06-30
"서구청소년수련관",지하 통신실,대구광역시,서구,서민·복지시설,SKT,Public WiFi Free,2020-12,대구광역시 서구 북비산로65길18,대구광역시 서구 이현동 48-8,대구광역시 서구청,053-663-2473,35.8811578,128.5690168,2020-06-30
"서구어린이도서관",통신실,대구광역시,서구,서민·복지시설,SKT,Public WiFi Free,2020-12,대구광역시 서구 문화로67길3,대구광역시 서구 이현동 69-3,대구광역시 서구청,053-663-2473,35.8763083,128.5691039,2020-06-30
"중리동우체국",민원실,대구광역시,서구,기타,KT,Public WiFi Free,2020-12,대구광역시 서구 문화로280,대구광역시 서구 중리동 702-1,대구광역시 서구청,053-663-2473,35.8756065,128.5632981,2020-06-30
"서부도서관","휴게실, 디지털자료실",대구광역시,서구,서민·복지시설,SKT,Public WiFi Free,2020-12,대구광역시 서구 국채보상로46길37-3,대구광역시 서구 평리동 1230-1,대구광역시 서구청,053-663-2473,35.8673581,128.5568295,2020-06-30
"평리3동우체국",우체국,대구광역시,서구,기타,KT,Public WiFi Free,2020-12,대구광역시 서구 평리로35길90-6,대구광역시 서구 평리동 1072-27,대구광역시 서구청,053-663-2473,35.8679313,128.5442553,2020-06-30
"서구청",민원실,대구광역시,서구,관공서,KT,Public WiFi Free,2020-12,대구광역시 서구 달서로4길9-34,대구광역시 서구 평리동 1230-9,대구광역시 서구청,053-663-2473,35.8645979,128.5716777,2020-06-30
"보건복지회",사무실,대구광역시,서구,서민·복지시설,LGU+,Public WiFi Free,2020-12,대구광역시 서구 달서천로57길45,대구광역시 서구 평리동 1368-1,대구광역시 서구청,053-663-2473,35.8882513,128.5632503,2020-06-30
"서대구우체국",민원실,대구광역시,서구,기타,KT,Public WiFi Free,2020-12,대구광역시 남구 이천로 10,대구광역시 서구 평리동 1404-4,대구광역시 서구청,053-663-2473,35.8417075,128.5982576,2020-06-30
"평리5동우체국",민원실,대구광역시,서구,기타,KT,Public WiFi Free,2020-12,대구광역시 남구 이천로 51,대구광역시 서구 평리동 1535-12,대구광역시 서구청,053-663-2473,35.845792,128.5977724,2020-06-30
"서구청민원실",민원실,대구광역시,서구,관공서,SKT,Public WiFi Free,2020-12,대구광역시 남구 이천로 31,대구광역시 서구 평리동 1230-9,대구광역시 서구청,053-663-2473,35.8439533,128.5979457,2020-06-30
"농협두류점",민원실,대구광역시,서구,기타,KT,Public WiFi Free,2020-12,대구광역시 남구 두류공원로 20길 19,대구광역시 서구 내당동 219-8,대구광역시 서구청,053-663-2473,35.8459643,128.569528,2020-06-30
"내당역",역사,대구광역시,서구,교통시설,LGU+,Public WiFi Free,2020-12,대구광역시 남구 이천로 51,대구광역시 서구 내당동 63-1,대구광역시 서구청,053-663-2473,35.845792,128.5977724,2020-06-30
"비산5동",민원실,대구광역시,서구,관공서,LGU+,Public WiFi Free,2020-12,대구광역시 남구 월배로 496,대구광역시 서구 비산동 1041-3,대구광역시 서구청,053-663-2473,35.8367855,128.5577515,2020-06-30
"농협원대동",농협,대구광역시,서구,기타,KT,Public WiFi Free,2020-12,대구광역시 남구 대명서7길 24-3,대구광역시 서구 원대동1가 77,대구광역시 서구청,053-663-2473,35.8356279,128.5580035,2020-06-30
"대구의료원",민원실,대구광역시,서구,서민·복지시설,LGU+,Public WiFi Free,2020-12,대구광역시 남구 대명로 297,대구광역시 서구 중리동 1162,대구광역시 서구청,053-663-2473,35.844601,128.5883363,2020-06-30
"서부도서관",야외공원,대구광역시,서구,서민·복지시설,SKT,Public WiFi Free,2020-12,대구광역시 남구 중앙대로45길 53 (대명동),대구광역시 서구 평리동 1230-1,대구광역시 서구청,053-663-2473,35.85496884,128.5893078,2020-06-30
"신평리시장",시장내,대구광역시,서구,기타,SKT,Public WiFi Free,2020-12,대구광역시 남구 앞산순환로 478,대구광역시 서구 평리동 1205,대구광역시 서구청,053-663-2473,35.8313155,128.5770017,2020-06-30
"원대신시장",시장내,대구광역시,서구,기타,SKT,Public WiFi Free,2020-12,대구광역시 남구 큰골길 53,대구광역시 서구 원대동3가 1434-4,대구광역시 서구청,053-663-2473,35.83725432,128.5790384,2020-06-30
